"directory","file_name","variable_name","variable_type","description"
"data","universityrankingafrica.rda","university","string","Name of the University"
"data","universityrankingafrica.rda","country","drop-down from List of African countries","Country where the University is located"
"data","universityrankingafrica.rda","city","string","City where the University is located"
"data","universityrankingafrica.rda","ror_entry_correct","y / n","Is the entry on the ror.org-website corresponding to the University correct? In most ""n""-cases, the stated website is incorrect"
"data","universityrankingafrica.rda","url","URL","Official website of the University"
"data","universityrankingafrica.rda","website_secure","y / n","Does the website use https? Is there no security related pop-up upon opening the website?"
"data","universityrankingafrica.rda","website_up_to_date","y / n","Are news articles on the website up to date OR is the copyright date of the website the current year?"
"data","universityrankingafrica.rda","website_function","good / medium / poor / defunct","Good: navigating through the website is smooth, no OR very few dead or redundant links. Medium: some dead links within the webpage, some placeholders (""lorem ipsum"") still visible, some blank or empty pages. Poor: Navigating through the website is very difficult. Defunct: the official link of the university's website is no longer hosted, or is otherwise inaccessible. Note: Does NOT indicate how much information can be found on the website."
"data","universityrankingafrica.rda","website_language","string","Default language of the landing site"
"data","universityrankingafrica.rda","colonial_power","string","The colonial Power from which the country gained independence, if it ever was colonized or became independent."
"data","universityrankingafrica.rda","rank_africa","int","The rank of the University in Africa, according to https://www.webometrics.info/en/Ranking_africa"
"data","universityrankingafrica.rda","rank_world","int","The rank of the University in the World, according to https://www.webometrics.info/en/Ranking_africa"
"data","universityrankingafrica.rda","impact_rank","int","The impact rank of the University, according to https://www.webometrics.info/en/Ranking_africa"
"data","universityrankingafrica.rda","openness_rank","int","The openness rank of the University, according to https://www.webometrics.info/en/Ranking_africa"
"data","universityrankingafrica.rda","excellence_rank","int","The excellence rank of the University, according to https://www.webometrics.info/en/Ranking_africa"
"data","universityrankingafrica.rda","academic_system","American / French","Which academic system is used at the University: American (Undergraduate, Graduate, Doctorate) or French (LMD: Licence, Master, Doctorat)"
"data","universityrankingafrica.rda","engineering_courses","int","The number of different undergraduate engineering courses the University offers."
"data","universityrankingafrica.rda","years_of_study","int","Stated duration of an undergraduate engineering degree. If the University doesn't offer engineering degrees, the duration of another undergraduate degree is indicated."
"data","universityrankingafrica.rda","online_application","y / n","Is there a possibility to apply for the University online? If no explicit method is stated to send the application online, it's considered as ""no"""
"data","universityrankingafrica.rda","international_students","y / n","Does the University give special information to interested foreign students on how to enter?"
"data","universityrankingafrica.rda","yearly_fee","int","Required yearly tuition fee for a local student to complete a year of an undergraduate engineering degree at the University. If the University doesn't offer engineering degrees, the general tuition fee is indicated"
"data","universityrankingafrica.rda","masters_programme","y / n","Does the University offer Master's programmes? (NOT only engineering)"
"data","universityrankingafrica.rda","online_payment","y / n","Is there a possibility to pay University fees online? (either banking information, instructions or a direct link)"
"data","universityrankingafrica.rda","number_of_students","int","If stated on the website, the number of students studying at the University"
"data","universityrankingafrica.rda","access_date","date (dd.mm.yyyy)","Date the University website was accessed"
"data","universityrankingafrica.rda","remarks","string","Personal notes on the University"
"data","universityrankingafrica.rda","countries","string","Name of the Country"
"data","universityrankingafrica.rda","region","string","African Region where the Country is located"
"data","universityrankingafrica.rda","best_uni_rank","int","Rank Africa of the best University of the country"
"data","universityrankingafrica.rda","gdp","int","GDP of the country in 2021 (With a few exceptions for which the data is older). Source: ourworldindata.org, World Bank, international-$ in 2017 prices (accounting for differences in cost of living)"
"data","universityrankingafrica.rda","gdp_per_capita","int","GDP per Capita of the country in 2021 (With a few exceptions for which the data is older). Source: ourworldindata.org, World Bank, international-$ in 2017 prices (accounting for differences in cost of living)"
"data","universityrankingafrica.rda","hdi","double between 0 and 1","Human Development Index of the country in 2021. Source: ourworldindata.org, United Nations Development Programme (UNDP). Variable time span: 1990-2021. Higher number means better developped."
