university,country,city,ror_entry_correct,url,website_secure,website_up_to_date,website_function,website_language,colonial_power,rank_africa,rank_world,impact_rank,openness_rank,excellence_rank,academic_system,engineering_courses,years_of_study,online_application,international_students,yearly_fee,masters_programme,online_payment,number_of_students,access_date,remarks
University of Cape Town,South Africa,Cape Town,y,https://www.uct.ac.za/,y,y,good,English,United Kingdom,1,244,284,235,290,American,6,4,y,y,3860,y,y,30392,2023-06-14,NA
University of Witwatersrand,South Africa,Johannesburg,y,https://www.wits.ac.za/,y,y,good,English,United Kingdom,2,392,657,379,403,American,10,4,y,y,3500,y,y,41000,2023-06-14,NA
Stellenbosch University,South Africa,Stellenbosch,y,http://www.sun.ac.za/Home.aspx,n,y,good,English,United Kingdom,3,432,696,350,465,American,6,4,y,y,3940,y,y,NA,2023-06-14,NA
Cairo University,Egypt,Cairo,y,https://cu.edu.eg/Home,y,n,good,Arabic,United Kingdom,5,542,1547,628,330,American,15,5,y,y,NA,y,n,207853,2023-04-24,NA
Alexandria University,Egypt,Alexandria,y,https://www.alexu.edu.eg/index.php/en/home1,y,n,medium,Arabic,United Kingdom,6,578,880,753,591,American,13,5,y,y,1870,y,n,120000,2023-04-24,NA
Mansoura University,Egypt,Al Mansurah,y,https://www.mans.edu.eg/en/,y,y,medium,Arabic,United Kingdom,11,922,3903,639,531,American,20,5,n,y,NA,y,y,217800,2023-04-24,NA
Makerere University,Uganda,Kampala,y,https://www.mak.ac.ug/,y,y,good,English,United Kingdom,13,1054,1806,1198,1123,American,6,4,y,y,1236,y,y,NA,2023-06-15,NA
University of Nairobi,Kenya,Nairobi,y,https://www.uonbi.ac.ke/,y,y,good,English,United Kingdom,14,1064,1084,744,1669,American,5,5,y,n,NA,y,y,45000,2023-06-08,NA
University of Ghana,Ghana,Accra,y,https://www.ug.edu.gh/,y,y,good,English,United Kingdom,17,1097,2147,776,1181,American,5,4,y,y,NA,y,n,NA,2023-06-05,NA
University of Ibadan,Nigeria,Ibadan,y,https://www.ui.edu.ng/,y,y,medium,English,United Kingdom,18,1116,2229,736,1210,American,8,5,y,y,NA,y,y,NA,2023-06-12,NA
Université Cadi Ayyad Marrakech,Morocco,Marrakesh,y,https://www.uca.ma/,y,n,good,French,France,22,1201,2506,1621,1098,French,4,3,y,y,NA,y,n,69320,2023-06-09,NA
Addis Ababa University,Ethiopia,Addis Ababa,y,http://www.aau.edu.et/,n,y,medium,English,None,23,1280,3178,1143,1174,American,5,NA,y,n,NA,y,n,47610,2023-05-26,NA
Obafemi Awolowo University,Nigeria,Ilesa,y,https://oauife.edu.ng/,y,y,poor,English,United Kingdom,24,1302,1534,1020,1904,American,8,NA,n,n,NA,y,n,NA,2023-06-13,NA
Covenant University Ota,Nigeria,Ota,y,https://covenantuniversity.edu.ng/,y,y,good,English,United Kingdom,25,1340,2868,1105,1391,American,7,5,y,y,2360,y,y,8601,2023-06-13,NA
Kwame Nkrumah University of Science & Technology,Ghana,Kumasi,y,https://www.knust.edu.gh/,y,y,good,English,United Kingdom,30,1472,3984,979,1377,American,18,4,n,y,656,y,y,NA,2023-06-05,NA
Université Mohammed V de Rabat,Morocco,Rabat,y,http://www.um5.ac.ma/um5/,n,y,good,French,France,35,1602,7556,1100,895,French,21,3,n,y,NA,y,n,88000,2023-06-09,NA
University of Khartoum,Sudan,Khartoum,y,https://www.uofk.edu/en/,NA,NA,defunct,English,United Kingdom,42,1770,2507,1670,2254,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-14,2023 Sudan conflict (start date 15 April 2023)
Université Hassan II de Casablanca,Morocco,Casablanca,y,https://www.univh2c.ma/,y,y,poor,French,France,46,1880,8845,1484,996,French,13,NA,n,n,NA,y,n,141887,2023-06-09,NA
